Chapter,ID,People/Event
1,people_3e47554bdced89caf1fbf41ad2ed6e1b,jacob_683
1,people_3d8009469f67bff8af4faf17e75a0ea3,jehoram_803
1,people_3758206665779a884109493c52672c88,eliud_1164
1,people_2c2c84d779e0bcfb5116be66a67228d7,amminadab_228
1,people_248b2fdbdc8b507fbdeccc549ebc6993,eleazar_1069
1,people_180e55a375351699d60182aeb74308f9,mary_1938
1,people_12f80b516bb106941288062f032b4401,god_1324
1,people_07babe3d9d1ebc6df1b952cf58523532,obed_2228
1,people_0623bfea7df23a1621eb8dce6f318357,uzziah_375
1,event_b97ab026f081bdb51887e5e280949294,espousal of mary
1,event_8dbd95cb8d4e66aa586abf13aa892251,an angel speaks to joseph in a dream
2,people_cfa5fef77cff8b9e730be4eb47e74e8d,jeremiah_853
2,people_98a6289a18b8cb4ad5f4441f056a787f,rachel_2386
2,people_7d80d364071b3f9dcb768ced77741c16,joseph_1715
2,people_74fc34c0591dc0c0a09fa2413e4e4e51,jesus_905
2,people_63620cdc6db0292f5c56a472a04048bc,herod_1504
2,people_557243adc58437fd6088ee2a9f0c3de1,archelaus_291
2,people_180e55a375351699d60182aeb74308f9,mary_1938
2,people_12f80b516bb106941288062f032b4401,god_1324
2,event_d6c961ee6f5f1c6adbfa491e9889d214,herod slays male children
2,event_d6630a6a96fd5320f9dd9a06ea4cd44d,wise men visit jesus
2,event_b52173f210290cf0792ecafa7005ee02,joseph and mary flee to egypt
2,event_9fda9d59337c7ed31805a16228b23bd7,"joseph and mary return from egypt, joseph and mary return to nazareth"
2,event_6935516f09702fa1ad2df218094baa49,joseph and mary return to nazareth
2,event_1618e4382fb4e53c37fa14481c6aa92f,wise men visit herod
2,event_047ad5b894c8f9435786dd1556504129,joseph and mary return from egypt
3,people_f37710aa0d0f87130c8fecfd990e9164,abraham_58
3,people_ba558dd3dc06148c4093ceee8081d5ab,isaiah_617
3,people_a3c19bfcb377f94f19ab0eca9e103d02,john_1676
3,people_8f367c1b11a63a2c205a984f71382a98,holy_spirit_7400
3,people_74fc34c0591dc0c0a09fa2413e4e4e51,jesus_905
3,people_12f80b516bb106941288062f032b4401,god_1324
3,event_fe07358fe6347d49865da346e5eefe02,john the baptist begins ministry
3,event_8be73a7575c9733cfce195dbed9b9d61,john baptizes jesus
4,people_d46156824b4c9499d434dea5198b29ec,james_717
4,people_bdbfbef30547259326122c9c051c91ad,satan_2476
4,people_ba558dd3dc06148c4093ceee8081d5ab,isaiah_617
4,people_a3c19bfcb377f94f19ab0eca9e103d02,john_1676
